,SUBJECT,Extraversion,Neuroticism,Openness,Attenzione,Comp_motorio,Autocontrollo,Compl_cogn,Impulsivita_mot,Impulsivita_non_pian,RT_std_gonogo,RT_skew_gonogo,RT_kurt_gonogo,RT_noerrors_gonogo,RT_mean_stroop_cong,RT_median_stroop_cong,RT_cv_stroop_cong,RT_iqr_stroop_cong,RT_outlier_stroop_cong,RT_mean_stroop_incong,RT_median_stroop_incong,RT_std_stroop_incong,RT_skew_stroop_incong,RT_iqr_stroop_incong,RT_outlier_stroop_incong
0,IDU002,2.5,2.0,4.0,11,18,15,13,25,28,49.07424042658559,1.7974880307532393,4.871313660505186,0,692.75,662.0,0.2295320991717498,160.0,1,767.9166666666666,753.0,171.36322843774292,0.0917906948313228,198.25,0
1,IDU008,3.0,2.0,2.5,11,10,15,13,16,28,34.13735548556775,0.8984984049491239,1.1424620588757488,1,924.0833333333334,909.5,0.1312815697750386,166.25,0,1055.5833333333333,957.5,207.21155563307465,1.3852046011259402,119.75,2
2,IDU011,3.5,2.5,3.5,11,11,14,12,22,26,65.76875041441373,0.6086096489474766,0.0444729998522328,1,1022.25,1004.0,0.1843536363469838,217.25,1,1222.8333333333333,1046.0,426.7391865452871,1.4923111589419369,369.25,1
3,IDU013,3.0,2.5,5.0,11,13,10,10,19,20,78.39162856400625,1.139787749508332,1.2091419911247063,2,998.75,900.5,0.2629102701663299,200.25,1,1283.3333333333333,1263.0,221.9538581586613,0.0411715208713726,274.25,0
4,IDU015,2.5,2.5,4.0,13,18,20,12,28,32,65.29627177216653,1.7280106215872724,3.391641968901104,0,644.0,645.5,0.2374036593137425,206.0,0,804.4166666666666,814.5,133.94059628556735,0.3846223165202624,178.5,0
5,IDU017,3.5,2.5,4.0,11,8,11,12,15,23,42.45852412868869,1.3374822049844486,3.046918981451088,2,679.3333333333334,597.5,0.325691629170695,212.75,1,685.3,688.0,161.9753410587893,0.1565549640737878,203.5,0
6,IDU019,3.0,4.5,4.0,8,14,14,14,22,28,73.73238713266174,1.8676361802188897,4.761109724544316,1,778.1666666666666,775.0,0.1604425737236795,175.0,0,1071.0,1023.0,253.4793877221578,0.9703581133656696,237.0,1
7,IDU021,4.0,4.0,2.0,10,9,11,10,17,21,55.55687267741872,1.2008647163674262,2.441711884288128,0,928.5,895.0,0.1212650583575449,135.5,0,1117.75,1140.5,170.7859505611949,-0.3594094505221972,174.25,0
8,IDU024,3.0,4.0,4.0,6,8,8,10,14,18,92.7656362929515,3.527964071329991,14.557519813138672,0,944.1666666666666,930.5,0.0580899750217996,48.0,1,1061.4166666666667,1051.5,57.76513313462201,0.4323515206856015,79.25,0
9,IDU025,4.0,5.0,4.0,7,9,10,14,15,24,46.94852031025082,0.6901901548804518,-0.7030400310843281,4,763.25,747.0,0.1296201752075455,156.25,0,843.6666666666666,839.5,141.31289160346742,-0.2459596871347906,141.5,0
10,IDU027,3.0,2.0,4.5,9,12,16,11,19,27,70.83810288660167,3.180715053459635,11.609877350705805,1,637.1666666666666,615.0,0.1428312723711078,167.0,0,655.0909090909091,650.0,119.73759187945492,0.7332024009580668,117.5,2
11,IDU029,2.0,3.5,2.5,10,14,11,11,19,22,51.81416162240559,1.6491842510605208,4.850324309586303,0,729.5,806.5,0.2663454050728002,305.0,0,877.75,970.0,258.0067388126273,-0.303691885286318,482.25,0
12,IDU031,1.5,4.5,4.0,9,11,10,9,17,19,70.72421771749345,3.060674196608882,12.150999471454393,0,732.0833333333334,601.0,0.4277190876154479,116.25,2,734.5833333333334,702.0,134.98380935459923,0.4719535139734257,216.25,0
13,IDU033,4.0,3.5,2.0,9,14,14,11,20,25,51.33223968514259,0.976591051468527,1.1851158646025404,0,951.75,908.5,0.2316376554852253,179.5,2,1218.0833333333333,1087.0,351.7996481297876,2.212236956791472,179.5,1
14,IDU035,3.0,4.0,3.5,11,11,14,12,18,26,95.61902985314428,3.661760862541396,16.248629353021606,0,713.75,708.5,0.095260448712115,104.5,0,850.0,854.5,140.4978162237277,-0.1164429074644274,129.75,0
15,IDU037,4.0,4.5,4.5,9,11,14,10,15,24,94.13360351508096,3.677546318576022,17.477918146964388,1,1686.4166666666667,1725.0,0.2026417703187749,293.5,2,1582.3333333333333,1589.5,411.9903647005116,0.0411714383304683,758.75,0
16,IDU038,3.0,3.5,5.0,8,14,13,9,21,22,78.11027885851364,1.5005028990899862,2.776448266055918,0,1122.5833333333333,1191.0,0.2203695630382472,332.5,0,1346.3636363636365,1339.0,234.3993484322312,0.2631052962609292,385.0,0
