SUBJECT,MEAN GONOGO TIME,MEAN STROOP TIME,MEAN T1,MEAN T2,MEAN T1+T2,MEAN T3,MEAN UNCERTAINITY,NUMBER OF STROOP ERROR,NUMBER OF GONOGO ERROR,NUMBER OF UNCERTAINITY
IDU002,282.701,730.333,690.824,1357.941,1371.172,411.250,N/A,0,0,N/A
IDU005,293.156,1214.667,629.706,1632.529,1502.172,425.417,542.000,0,1,4
IDU008,273.714,989.833,690.647,1263.647,1244.448,238.833,N/A,0,1,N/A
IDU010,244.844,756.125,719.429,2975.786,2252.160,415.545,nan,0,1,0
IDU011,261.429,1122.542,635.824,514.118,895.438,607.000,N/A,0,1,N/A
IDU012,234.766,984.833,790.000,1596.875,1481.516,515.800,nan,0,2,0
IDU013,288.013,1141.042,618.294,1960.353,1810.500,359.556,N/A,0,2,N/A
IDU014,288.909,833.292,725.941,2615.471,2163.517,494.833,nan,0,0,0
IDU015,277.117,724.208,730.167,881.059,1100.812,513.667,N/A,0,0,N/A
IDU016,229.286,660.250,778.882,2270.235,1999.103,511.583,nan,1,6,0
IDU017,219.714,684.625,596.529,592.588,873.214,385.000,N/A,2,2,N/A
IDU018,263.468,893.333,855.471,2988.294,2686.862,1047.917,667.000,0,2,1
IDU019,267.325,912.125,778.941,1826.588,1792.750,536.636,N/A,1,1,N/A
IDU020,251.195,1004.208,788.000,1517.688,1677.593,764.000,967.000,0,0,1
IDU021,323.857,1023.125,684.882,990.824,1208.296,413.700,N/A,0,0,N/A
IDU022,280.623,845.042,690.765,1357.706,1380.967,508.077,200.000,0,0,1
IDU023,257.065,1357.458,754.750,2943.562,2446.037,624.545,nan,0,2,0
IDU024,365.104,1002.792,751.412,1031.941,1138.156,406.933,N/A,0,0,N/A
IDU025,257.416,803.458,794.824,1926.941,1784.867,559.692,N/A,0,4,N/A
IDU026,322.909,1166.417,751.588,2335.059,1951.968,574.143,300.000,0,0,1
IDU027,248.195,655.917,680.824,1014.529,1121.194,424.000,N/A,1,1,N/A
IDU028,273.857,1022.167,663.235,3000.059,2252.600,407.846,834.000,3,1,1
