,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU031,1,901,401,1302,301.0,2,2
1,IDU031,2,734,367,1101,333.0,1,1
2,IDU031,3,233,367,600,,2,6
3,IDU031,4,367,368,735,,3,3
4,IDU031,5,801,267,1068,500.0,1,1
5,IDU031,6,600,466,1066,434.0,1,1
6,IDU031,7,801,934,1735,501.0,1,5
7,IDU031,8,734,401,1135,533.0,1,2
8,IDU031,9,768,367,1135,400.0,1,7
9,IDU031,10,800,567,1367,533.0,1,3
10,IDU031,11,634,434,1068,167.0,1,1
11,IDU031,12,668,434,1102,534.0,1,9
12,IDU031,13,701,1001,1702,433.0,2,6
13,IDU031,14,701,367,1068,401.0,2,7
14,IDU031,15,801,433,1234,,1,1
15,IDU031,16,600,401,1001,601.0,1,1
16,IDU031,17,367,367,734,,2,2
