"subject","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
"IDU002",2.5,2.5,2.5,2,4
"IDU005",3.5,2.5,2.5,3.5,3.5
"IDU008",3,2,3,2,2.5
"IDU010",1.5,2.5,4,3.5,4.5
"IDU011",3.5,3,3,2.5,3.5
"IDU012",3.5,2.5,2.5,3.5,2
"IDU013",3,2.5,4.5,2.5,5
"IDU014",3,2.5,3.5,3.5,4
"IDU015",2.5,3,3,2.5,4
"IDU016",4,2,3,3.5,4.5
"IDU017",3.5,3.5,4,2.5,4
"IDU018",1,4,4,3.5,4.5
"IDU019",3,3,3,4.5,4
"IDU021",4,2,3,4,2
"IDU024",3,4.5,4.5,4,4
"IDU025",4,2.5,4,5,4
"IDU027",3,3.5,3,2,4.5
"IDU029",2,3.5,4.5,3.5,2.5
"IDU031",1.5,2,3.5,4.5,4
"IDU033",4,3,2.5,3.5,2
"IDU035",3,3,4,4,3.5
"IDU037",4,2,5,4.5,4.5
"IDU038",3,2.5,3.5,3.5,5
"IDU040",3.5,3.5,3.5,2,4
