SUBJECT,RT_mean,RT_median,RT_std,RT_cv,RT_skew,RT_kurt,RT_iqr,RT_outlier,RT_noerrors,RT_nsamples
IDU002,363.0833333333333,351.0,49.07424042658559,0.13515971657540213,1.7974880307532393,4.871313660505186,48.5,2,0,60
IDU008,346.1166666666667,343.0,34.13735548556775,0.0986296205101394,0.8984984049491239,1.1424620588757488,36.5,3,1,60
IDU011,327.71666666666664,315.0,65.76875041441373,0.2006878413703313,0.6086096489474766,0.04447299985223285,95.5,1,1,60
IDU013,382.6551724137931,371.5,78.39162856400625,0.20486232570570256,1.139787749508332,1.2091419911247065,72.5,6,2,58
IDU015,355.9166666666667,340.0,65.29627177216653,0.18345943836712675,1.7280106215872724,3.391641968901104,67.75,3,0,60
IDU017,273.45,265.5,42.458524128688694,0.15526979019450976,1.3374822049844486,3.046918981451088,36.5,6,2,60
IDU019,361.43859649122805,351.0,73.73238713266174,0.20399699381427627,1.8676361802188899,4.7611097245443155,62.0,3,1,57
IDU021,415.9,404.0,55.556872677418724,0.13358228583173534,1.2008647163674262,2.441711884288128,56.0,3,0,60
IDU024,468.8333333333333,447.5,92.7656362929515,0.197864848118631,3.527964071329991,14.557519813138672,66.75,3,0,60
IDU025,312.35,299.5,46.94852031025082,0.15030741255082702,0.6901901548804518,-0.7030400310843281,80.0,0,4,60
IDU027,324.22033898305085,313.0,70.83810288660167,0.21848753569499182,3.180715053459635,11.609877350705805,40.5,3,1,59
IDU029,381.26666666666665,374.0,51.81416162240559,0.13590005671202726,1.6491842510605208,4.850324309586303,64.0,1,0,60
IDU031,317.51666666666665,305.5,70.72421771749345,0.2227417491496303,3.0606741966088826,12.150999471454393,46.25,5,0,60
IDU033,335.96610169491527,329.0,51.33223968514259,0.15278993751505462,0.976591051468527,1.1851158646025404,57.5,2,0,59
IDU035,350.1333333333333,330.0,95.61902985314427,0.2730931926498789,3.6617608625413958,16.248629353021606,46.75,5,0,60
IDU037,374.68333333333334,347.0,94.13360351508096,0.25123509678861516,3.677546318576022,17.477918146964388,63.0,3,1,60
IDU038,419.6949152542373,404.0,78.11027885851364,0.1861120447723247,1.5005028990899862,2.776448266055918,84.5,4,0,59
IDU040,615.5666666666667,596.5,118.97106423115575,0.19327080342961347,0.26095056180754167,-0.7147349920473096,181.0,0,0,60
ALL,373.1563367252544,350.0,102.353321333748,0.27429072284281797,1.9673510871567967,5.533796284258386,95.0,70,13,1081
